path,lastdetect,matchcount
APC1.bmp,,
APC1.jpg,,
APC1_2.bmp,2025-06-10 19:31:27,161
Alliance.bmp,2025-06-11 10:01:50,50
Congrat_bob.bmp,2025-06-11 09:45:20,31
Energy_claim.bmp,2025-06-11 10:04:17,31
Events_claim.bmp,2025-06-03 10:44:08,5
Events_claim_2.bmp,,
Events_exclamation_transblack.bmp,,
Events_exclamation_transblack_Left.bmp,2025-06-11 10:04:41,3
Events_exclamation_transblack_Right.bmp,2025-06-11 09:45:26,23
Events_exclamation_transblack_old.bmp,,
Events_new.bmp,2025-06-11 09:45:01,7
Events_new_bnt.bmp,2025-06-10 15:03:18,7
Events_new_bnt_2.bmp,2025-06-11 09:45:22,3
Events_new_bnt_3.bmp,2025-06-10 11:52:16,2
Events_reddot.bmp,2025-06-11 10:04:38,8
Events_title.bmp,2025-06-11 10:05:04,87
Levelup.bmp,2025-06-11 09:35:36,3
Levelup_claim.bmp,2025-06-09 22:03:30,1
March.jpg,,
March_2.bmp,2025-06-10 19:29:07,85
Quinn_x.bmp,,
Reddot.bmp,2025-06-10 11:35:30,1
ShadowCalls_title.bmp,,
Shadow_AllyMissions.bmp,2025-06-11 09:45:04,18
Shadow_Assist.bmp,,
Titan_title.bmp,2025-06-10 19:33:24,41
alliance_gift.bmp,2025-06-11 10:02:14,58
alliance_help.jpg,,
alliance_help.png,,
alliance_help2.png,,
alliance_tech.bmp,2025-06-11 10:01:52,50
alliance_wars.bmp,2025-06-11 10:02:02,49
battle_rewards_icon.bmp,,
battle_rewards_icon_transblack.bmp,2025-06-11 10:03:27,22
battlerewards_claim_all.bmp,2025-06-11 10:03:30,22
boomers_BW.bmp,2025-06-10 19:26:33,14
btn_return.bmp,2025-06-11 10:06:33,546
btn_return_white.bmp,2025-06-11 10:05:07,51
btn_return_white_2.bmp,,
cancel.bmp,2025-06-09 23:49:05,3
claim.bmp,,
claim_congrat.bmp,2025-06-03 15:23:48,31
claim_green.bmp,2025-06-11 09:45:19,44
combat.bmp,2025-06-11 10:01:27,41
combat2.bmp,2025-06-10 19:02:16,15
combat_claim.bmp,2025-06-03 10:58:04,3
combat_claim_blue.bmp,2025-06-03 10:58:05,3
crash_darkwar_icon.bmp,2025-06-10 19:09:58,19
daily_task.bmp,2025-06-11 10:03:02,19
daily_task_claim_all.bmp,2025-06-03 10:14:02,1
daily_task_exit.bmp,2025-06-03 14:53:40,2
donate_exit.bmp,,
energy_plus.bmp,2025-06-11 10:04:00,42
escort.bmp,2025-06-10 19:02:00,5
escort_gift.bmp,,
escort_truck.bmp,2025-06-11 10:06:49,6
expedition_chest.bmp,2025-06-11 09:52:36,7
expedition_chest2.bmp,2025-06-11 10:03:38,1
expedition_chest_animation.bmp,2025-06-11 10:03:40,11
expedition_claim.bmp,2025-06-03 15:12:25,3
expedition_gift.bmp,2025-06-10 19:02:02,5
get_energy.jpg,,
get_energy_2.bmp,2025-06-10 19:06:35,9
get_energy_3.bmp,,
get_energy_4.bmp,2025-06-10 19:31:28,16
gift_claim.bmp,,
gift_rare.bmp,2025-06-11 10:02:40,50
gifts_claim_all.bmp,2025-06-03 10:58:50,4
group.jpg,2025-06-10 19:31:27,111
heal.bmp,,
heal_0.bmp,,
heal_alliance_help.bmp,,
heal_done.bmp,,
heal_done_riders.bmp,,
heal_done_shooters.bmp,,
heal_grayed.bmp,,
heal_progress.bmp,,
heal_selectall.bmp,,
help.bmp,2025-06-11 10:06:35,151
help.jpg,,
help_2.bmp,,
help_3.bmp,2025-06-03 17:12:31,17
lens.bmp,,
lens.jpg,,
lens.png,,
luckytoken_claim.bmp,,
march_2.bmp,,
march_3.bmp,,
maximise.bmp,,
mb_attack.bmp,,
mb_daunting_battle_2.bmp,,
mb_go.bmp,,
mb_icon.bmp,,
mb_mutabeasthunt.bmp,,
mb_search.bmp,,
optimise.bmp,,
optimise_btn.bmp,2025-06-11 09:50:28,8
optimise_food.bmp,,
optimise_food_2.bmp,,
optimise_food_3.bmp,2025-06-10 11:45:56,2
optimise_food_4.bmp,,
optimise_resident_status.bmp,2025-06-11 09:50:24,8
premium_icon.bmp,2025-06-10 20:52:04,20
premium_title.bmp,2025-06-10 20:52:06,176
red_cross.bmp,,
red_cross_transblack.bmp,,
reddot.bmp,,
reddot_number_transblack.bmp,2025-06-11 10:04:43,369
reddot_transblack.bmp,2025-06-11 09:50:23,85
reddot_transblack_2.bmp,2025-06-11 09:48:04,39
search.jpg,2025-06-10 19:31:25,112
shelter.bmp,2025-06-10 19:31:45,285
speedup.bmp,,
speedup.png,,
splash_event_x.bmp,2025-06-11 10:06:24,4
splash_guy.bmp,2025-06-03 15:07:31,5
splash_guy_x.bmp,2025-06-10 20:47:57,10
splash_x.bmp,2025-06-11 10:02:10,91
survivor_profile.bmp,2025-06-06 12:05:36,29
switch_NIILeBalafre.bmp,2025-06-03 15:06:20,1
switch_account.bmp,2025-06-06 12:52:10,17
switch_balafre.bmp,,
switch_character.bmp,2025-06-03 17:08:46,13
switch_minibalafre.bmp,2025-06-03 10:10:40,1
switch_playericon.bmp,2025-06-10 11:59:57,1
switch_playericon_2.bmp,,
switch_user.bmp,,
switch_yes.bmp,2025-06-03 15:06:21,2
task_x.bmp,2025-06-11 10:03:16,14
tasks_claim.bmp,,
tech_donate.bmp,2025-06-11 10:01:53,399
tech_donate_done.bmp,2025-06-11 10:01:54,49
tech_thumb.bmp,2025-06-11 10:01:53,50
transblack_x.bmp,2025-06-03 17:10:05,9
wars_auto_group.bmp,2025-06-11 09:41:55,5
wars_clock.bmp,2025-06-11 10:02:04,44
wars_enable.bmp,2025-06-11 10:02:05,49
wars_team_up.bmp,,
wars_x.bmp,,
world.bmp,2025-06-11 10:06:48,1763
world_shelter_icon.bmp,,
world_shelter_icon_2.bmp,2025-06-10 19:31:40,72
world_shelter_icon_transblack.bmp,,
